Year,Square,Locus,BAG,RUD,RLP,LUD,LLP,Unidentifable_Parts,Cheliped
1998/2000,5I05,1,8,,,,,1,
1998/2000,2E21,36,,1,,,,,
1998/2000,2E21,3,24,1,,,,,
1998/2000,2E21,6,38,,,,,3,
1998/2000,2E21,3,27,,2,1,3,2,
1998/2000,2E21,12,43,,1,,,,
1998/2000,5I05,10,114,,1,,,,
1998/2000,2G87,18,127,,,1,,,
1998/2000,5I05,10,109,,,,,3,
1998/2000,5I05,10,117,,,,1,,
1998/2000,2G87,5,165,1,1,,,,
1998/2000,2G87,5,58,1,,,,,
1998/2000,5I05,2,11,1,,,,,
1998/2000,2G87,7,41,,,1,,,
1998/2000,2G87,5,161,,1,,,,
1998/2000,2G87,5,65,1,,,,1,
1998/2000,4J40,4,7,,,,,1,
1998/2000,4I49,10,16,,,,,1,
1998/2000,2E21,4,2,,,1,,,
1998/2000,2E21,3,22,1,,,,,
1998/2000,5I05,5,54,,,,,1,
1998/2000,5I05,10,96,1,,,,,
1998/2000,2G87,5,180,,,1,1,,
1998/2000,2G87,18,76,,,,,1,
1998/2000,5I05,10,103,,,1,1,1,
1998/2000,5I05,10,91,1,,,,,
1998/2000,5I05,5,57,,,,,1,
2004,5I05,46,304,1,1,1,,,
2004,5I05,32,231,1,,,,,
2004,5I05,31,148,1,,,,,
2004,5I05,46,292,1,,,,,
2004,5I05,36,287,1,,,,,
2004,5I05,37,316,1,2,1,,3,1
2004,5I05,32,183,1,,,,2,
2004,2G86,24,,1,,1,,3,
2004,5I05,32,245,1,,,,,
2004,5I05,30,189,1,2,1,1,4,
2004,5I05,44,297,2,,,1,,
2004,5I05,37,295,2,2,1,1,3,
2004,5I05,44,,4,2,1,2,1,
2004,3H04,11,28,,,,1,,
2004,2E23,27,51,,,,,1,
2004,5I05,30,153,,,1,,,
2004,3G46,7,21,,1,,,,
2004,5I05,41,169,,1,,,,
2004,5I05,45,307,,,,1,,
2004,5I05,33,151,,,1,,2,
2004,5I05,31,147,,1,,,,
2004,5I05,39,167,,1,,,,
2004,2E22,31,80,,,1,,,
2004,5I05,43,89,,1,,,1,
2004,3H04,13,43,,,1,,,
2004,5I05,32,217,,,1,,,
2004,5I05,32,206,,,,,1,
2004,5I05,46,279,,1,,,1,
2004,5I05,32,263,,,,1,1,
2004,5I05,32,268,,,,1,,
2004,5I05,30,285,,,1,,,
2004,5I05,34,155,,,1,1,,
2004,5I05,44,224,,,1,,1,
2004,5I05,30,178,,,1,,,
2004,5I05,32,235,,,1,,3,
2004,2E23,5,28,,,,1,,
2004,5I05,32,248,,,,1,,
